Episode,Average Distance
2340,135.92594337352577
2341,109.97502572714227
2342,115.10992928858232
2343,163.13032785094427
2344,115.56375666573837
2345,109.24497347484301
2346,148.55321135189928
2347,140.6747749466037
2348,119.22135481841396
2349,159.34859233133358
2350,109.23293413285668
2351,149.93571030027465
2352,123.15683931305207
2353,135.19371498607788
2354,128.3299201459046
2355,107.61791190204062
2356,118.03645915391007
2357,97.18876387528263
2358,126.13458294906722
2359,189.4438967926375
2360,102.5728515643683
2361,147.81640791147174
2362,133.0836162808499
2363,118.66512007619788
2364,139.98500306444467
2365,141.3349093206101
2366,90.45848937537048
2367,118.9985768667589
2368,120.98248094911528
2369,156.98321134826796
2370,98.78053107740921
2371,81.65435406124294
2372,116.4148700808788
2373,111.85363181736349
2374,139.58370828790873
2375,141.94138770861045
2376,89.64427004167604
2377,122.27635906116858
2378,86.62204313613971
2379,162.29996714778193
2380,139.5962792114269
2381,115.32743464755977
2382,81.919737638455
2383,215.2600108265995
2384,138.34460131597578
2385,173.45701270882333
2386,110.72323037956217
2387,129.8561368694731
2388,122.95130165871511
2389,104.42064409061328
2390,117.18324250815473
2391,152.79449741511038
2392,160.85368440503646
2393,139.35093605375306
2394,155.14803449054406
2395,103.38169065656032
2396,122.24425033911209
2397,104.70702901689143
2398,123.12027090379333
2399,173.20500538187707
2400,86.73058341043424
2401,138.87523033770591
2402,114.59289841721304
2403,157.23618684608175
2404,129.5073090833836
2405,128.5812715280309
2406,146.38444884375957
2407,201.16126828561215
2408,179.48399640031465
2409,107.00080548355456
2410,119.3899100454614
2411,116.9832538062975
2412,103.16687004588945
2413,96.8607386082402
2414,104.91460108544385
2415,91.47394129475337
2416,150.2619574855037
2417,101.85908411204775
2418,90.0724488843058
2419,127.64231147686218
2420,117.51180360911194
2421,117.45798764235289
2422,129.0168878531749
2423,139.52014847422532
2424,140.6926504312695
2425,100.7979457802192
2426,86.54372225405452
2427,135.52533889759528
2428,137.5318009272673
2429,154.5051247908513
2430,119.21866023638955
2431,137.2837850398811
2432,146.62467815458928
2433,172.14375063507458
2434,100.56895943483991
2435,150.7389390038585
2436,151.28852743116454
2437,143.76233244145138
2438,148.43456884048132
2439,156.4104266143114
2440,123.96824576181801
2441,121.74956004595322
2442,173.54198818471818
2443,143.46726789807008
2444,170.35245301894838
2445,147.57483442116185
2446,121.01721158114793
2447,141.92081309641063
2448,95.69085088863969
2449,169.22224677801572
2450,107.13619949641246
2451,117.68932677289507
2452,133.4412767637025
2453,115.57262668664035
2454,118.07303520407505
2455,104.02326673155359
2456,142.4568399129913
2457,90.20255067344021
2458,153.7183571718602
2459,135.42434784186386
2460,103.76520613929569
2461,90.88785578382564
2462,117.01491085730689
2463,158.48628671981226
2464,93.8221578177758
2465,146.19492589429555
2466,107.4681571956357
2467,115.50640960529664
2468,125.69356869260267
2469,151.0607457953153
2470,102.32712996314383
2471,125.58197815245026
2472,115.63570076167625
2473,161.06197547582028
2474,167.62261657068362
2475,73.93376063804601
2476,138.29769533822832
2477,147.55652471562718
2478,139.55599098923824
2479,95.55631224925831
2480,114.78463080631602
2481,124.02013632856693
2482,147.57436256780593
2483,111.02138160656294
2484,145.06694032680312
2485,95.99742045120428
2486,115.18199410267056
2487,65.9207454176428
2488,148.15580265499267
2489,99.00333522942255
2490,146.4318090581774
2491,148.35196663881445
2492,93.37382473816784
2493,128.18724369138613
2494,129.0205589798954
2495,126.18021560090146
2496,144.78242678619014
2497,135.96799962795941
2498,93.95492327234942
2499,121.6078468650586
2500,104.16072572804701
2501,116.45392767865181
2502,153.37392655720265
2503,131.8038028935866
2504,111.16151989504613
2505,109.94757342912929
2506,116.10918937739736
2507,141.16013987414303
2508,93.40967564768488
2509,89.23109492534458
2510,114.3217572821956
2511,161.87074083296483
2512,146.50387307661958
2513,102.88813272400385
2514,121.53176784904086
2515,117.39063329292448
2516,168.11411649275936
2517,87.17158215487218
2518,124.5969646325424
2519,96.22824231014232
2520,140.27735400599684
2521,100.40342314630279
2522,118.08504584830072
2523,124.98555239410508
2524,130.29595516639205
2525,102.7450244201943
2526,95.6316586380345
2527,107.1577449183878
2528,110.20564713474104
2529,103.26240472344293
2530,106.29995108062153
2531,88.15506052165199
2532,83.85153964755133
2533,124.59415185597946
2534,110.71385499166419
2535,156.79501773483915
2536,134.82377638450376
2537,122.42914089700479
2538,133.22237801257407
2539,128.0971334091249
2540,122.96240088269167
2541,150.01631091602428
2542,98.61106578132173
2543,135.10783956403736
2544,144.44595145009808
2545,139.21114157132376
2546,92.99060090866622
2547,183.25155714815477
2548,95.64246285951765
2549,138.18159570702502
2550,129.0333760672161
2551,115.4775393033447
2552,160.06081858806616
2553,108.33692872544653
2554,119.31773054196597
2555,130.56518399642283
2556,123.0230852661204
2557,175.4334181182653
2558,112.68924236314672
2559,140.74217160925477
2560,118.27147022558157
2561,81.44129472531249
2562,133.28169008294412
2563,86.19266892286252
2564,118.86566293972747
2565,99.14851091935745
2566,124.45322833812853
2567,128.2706365804725
2568,131.94087947686546
2569,164.7767884184276
2570,154.51495927491374
2571,79.50141016681897
2572,108.12103524838479
2573,78.07355216900447
2574,137.16167766686345
2575,83.1126378401586
2576,180.70682445408494
2577,92.02911855286081
2578,157.84524217585826
2579,148.6977226506599
2580,96.9938810569937
2581,122.29138192789497
2582,114.6428805777002
2583,134.03351812469901
2584,90.36105992568841
2585,90.86846841334722
2586,139.74071519385433
2587,140.576271125771
2588,115.63887899784373
2589,113.840437795875
2590,93.99910671463122
2591,154.72826090944486
2592,111.17667611721076
2593,101.69313005444056
2594,90.71346459291773
2595,107.83890540849247
2596,87.47691413764451
2597,122.16859099957276
2598,136.40447546664592
2599,167.95151267448063
2600,227.07614863001496
2601,112.92624259621165
2602,133.88880216132767
2603,111.4391263166906
2604,97.45323968550181
2605,197.33404420676405
2606,178.0186417312133
2607,193.95468136324828
2608,130.91743973043455
2609,124.01130604311692
2610,142.01892591197043
2611,129.40959378186722
2612,122.75827414867007
2613,138.42203569275765
2614,98.9899813085334
2615,108.8211619915106
2616,116.69178657703978
2617,120.25331387680446
2618,82.75302171751758
2619,145.87762139518054
2620,121.69513876410934
2621,93.49642213396169
2622,111.12213458295857
2623,136.81787948412165
2624,108.23569644394318
2625,111.49615890452071
2626,94.30067199654596
2627,126.98704490511022
2628,126.03370759640605
2629,91.41562494453068
2630,181.7562730014655
2631,116.0318862011868
2632,126.15932569913824
2633,80.39303241233878
2634,133.91295057247814
2635,93.91545819231021
2636,108.95453373406411
2637,108.96502921729241
2638,111.15878399357172
2639,106.8123594358741
2640,135.6872394853752
2641,140.81302600414952
2642,133.98794763694093
2643,136.14064883360817
2644,127.73625244860307
2645,82.43276298582691
2646,98.99307831433191
2647,124.95531509758342
2648,114.92072124968479
2649,128.88530877804885
2650,150.1858391604213
2651,117.69703702578884
2652,136.01635461311116
2653,127.95401914259519
2654,92.01680824715511
2655,108.58170602124689
2656,113.2938589104138
2657,140.49818445531602
2658,101.10096280238768
2659,106.0658042361008
2660,124.9410112846991
2661,102.05397998079376
2662,225.9825237224497
2663,179.25258857022175
2664,129.05273241638108
2665,117.210914959299
2666,97.7269360063557
2667,96.33043281167457
2668,101.47363688422574
2669,173.81076644730462
2670,156.260391410555
2671,123.60454911361965
2672,129.86614815028847
2673,159.87661391730407
2674,83.59817226086756
2675,184.9737826063473
2676,87.02612433802226
2677,166.48153456005096
2678,166.98817232133976
2679,145.7181909200107
2680,87.1293544709587
2681,107.51956279837626
2682,147.2426608394053
2683,101.14362441935572
2684,144.52922986216583
2685,49.60587844082839
2686,160.1871569994941
2687,156.83565798171762
2688,111.0252531766166
2689,91.7922069145708
2690,83.93987469267971
2691,152.70180220792284
2692,99.29517238364353
2693,117.75812454927728
2694,172.2422294946302
2695,72.5530289502452
2696,139.3589664167814
2697,128.58740668593063
2698,99.34462049579511
2699,135.36640515804447
2700,136.9771671654105
2701,78.04980277463946
2702,84.62533756706453
2703,130.92229476416634
2704,135.0941787197568
2705,117.01368228543849
2706,137.5008026728624
2707,110.62011452428813
2708,102.33165280101774
2709,76.61290806630385
2710,86.61056476344234
